DATETIME, TR, TI, TE, INTENSITY
2021-09-07 23:04:00, 52.00, 64.19, 31.63, -100.00
2021-09-07 23:04:02, 52.00, 64.19, 31.63, -100.00
2021-09-07 23:04:04, 52.00, 63.44, 31.63, -100.00
2021-09-07 23:04:06, 52.00, 63.44, 31.63, -100.00
2021-09-07 23:04:08, 52.00, 63.06, 31.64, -100.00
2021-09-07 23:04:10, 52.00, 63.06, 31.64, -100.00
2021-09-07 23:04:12, 52.00, 62.31, 31.65, -100.00
2021-09-07 23:04:14, 52.00, 62.31, 31.65, -100.00
2021-09-07 23:04:16, 52.00, 61.88, 31.65, -100.00
2021-09-07 23:04:18, 52.00, 61.88, 31.65, -100.00
2021-09-07 23:04:20, 52.00, 61.19, 31.66, -100.00
2021-09-07 23:04:22, 52.00, 61.19, 31.66, -100.00
2021-09-07 23:04:24, 52.00, 60.44, 31.66, -100.00
2021-09-07 23:04:26, 52.00, 60.44, 31.66, -100.00
2021-09-07 23:04:28, 52.00, 60.06, 31.67, -100.00
2021-09-07 23:04:30, 52.00, 60.06, 31.67, -100.00
2021-09-07 23:04:32, 52.00, 59.31, 31.67, -100.00
2021-09-07 23:04:34, 52.00, 59.31, 31.67, -100.00
2021-09-07 23:04:36, 52.00, 58.94, 31.68, -100.00
2021-09-07 23:04:38, 52.00, 58.94, 31.68, -100.00
2021-09-07 23:04:40, 52.00, 58.19, 31.69, -100.00
2021-09-07 23:04:42, 52.00, 58.19, 31.69, -100.00
2021-09-07 23:04:44, 52.00, 57.81, 31.69, -100.00
2021-09-07 23:04:46, 52.00, 57.81, 31.69, -100.00
2021-09-07 23:04:48, 52.00, 57.12, 31.70, -100.00
2021-09-07 23:04:50, 52.00, 57.12, 31.70, -100.00
2021-09-07 23:04:52, 52.00, 56.38, 31.70, -100.00
2021-09-07 23:04:54, 52.00, 56.38, 31.70, -100.00
2021-09-07 23:04:56, 52.00, 56.06, 31.70, -100.00
2021-09-07 23:04:58, 52.00, 56.06, 31.70, -100.00
2021-09-07 23:05:00, 52.00, 55.38, 31.71, -100.00
2021-09-07 23:05:02, 52.00, 55.38, 31.71, -100.00
2021-09-07 23:05:04, 52.00, 54.94, 31.71, -100.00
2021-09-07 23:05:06, 52.00, 54.94, 31.71, -100.00
2021-09-07 23:05:08, 52.00, 54.25, 31.72, -100.00
2021-09-07 23:05:10, 52.00, 54.25, 31.72, -100.00
2021-09-07 23:05:12, 52.00, 53.94, 31.72, -100.00
2021-09-07 23:05:14, 52.00, 53.94, 31.72, -100.00
2021-09-07 23:05:16, 52.00, 53.31, 31.73, -100.00
2021-09-07 23:05:18, 52.00, 53.31, 31.73, -100.00
2021-09-07 23:05:20, 52.00, 52.62, 31.73, -100.00
2021-09-07 23:05:22, 52.00, 52.62, 31.73, -100.00
2021-09-07 23:05:24, 52.00, 52.31, 31.73, -100.00
2021-09-07 23:05:26, 52.00, 52.31, 31.73, -100.00
2021-09-07 23:05:28, 52.00, 51.69, 31.74, -100.00
2021-09-07 23:05:30, 52.00, 51.69, 31.74, -100.00
2021-09-07 23:05:32, 52.00, 51.38, 31.74, -100.00
2021-09-07 23:05:34, 52.00, 51.38, 31.74, -100.00
2021-09-07 23:05:36, 52.00, 50.81, 31.75, 100.00
2021-09-07 23:05:38, 52.00, 50.81, 31.75, 100.00
2021-09-07 23:05:40, 52.00, 50.50, 31.75, 100.00
2021-09-07 23:05:42, 52.00, 50.50, 31.75, 100.00
2021-09-07 23:05:44, 52.00, 50.44, 31.75, 100.00
2021-09-07 23:05:46, 52.00, 50.44, 31.75, 100.00
2021-09-07 23:05:48, 52.00, 50.88, 31.76, 100.00
2021-09-07 23:05:50, 52.00, 50.88, 31.76, 100.00
2021-09-07 23:05:52, 52.00, 51.19, 31.76, 100.00
2021-09-07 23:05:54, 52.00, 51.19, 31.76, 100.00
2021-09-07 23:05:56, 52.00, 51.94, 31.76, 100.00
2021-09-07 23:05:58, 52.00, 51.94, 31.76, 100.00
2021-09-07 23:06:00, 52.00, 52.38, 31.77, 100.00
2021-09-07 23:06:02, 52.00, 52.38, 31.77, 100.00
2021-09-07 23:06:04, 52.00, 53.44, 31.77, -100.00
2021-09-07 23:06:06, 52.00, 53.44, 31.77, -100.00
2021-09-07 23:06:08, 52.00, 54.00, 31.77, -100.00
2021-09-07 23:06:10, 52.00, 54.00, 31.77, -100.00
2021-09-07 23:06:12, 52.00, 54.62, 31.77, -100.00
2021-09-07 23:06:14, 52.00, 54.62, 31.77, -100.00
2021-09-07 23:06:16, 52.00, 54.88, 31.78, -100.00
2021-09-07 23:06:18, 52.00, 54.88, 31.78, -100.00
2021-09-07 23:06:20, 52.00, 54.94, 31.78, -100.00
2021-09-07 23:06:22, 52.00, 54.94, 31.78, -100.00
2021-09-07 23:06:24, 52.00, 54.94, 31.79, -100.00
2021-09-07 23:06:26, 52.00, 54.94, 31.79, -100.00
2021-09-07 23:06:28, 52.00, 54.88, 31.79, -100.00
2021-09-07 23:06:30, 52.00, 54.88, 31.79, -100.00
2021-09-07 23:06:32, 52.00, 54.69, 31.79, -100.00
2021-09-07 23:06:34, 52.00, 54.69, 31.79, -100.00
2021-09-07 23:06:36, 52.00, 54.62, 31.80, -100.00
2021-09-07 23:06:38, 52.00, 54.62, 31.80, -100.00
2021-09-07 23:06:40, 52.00, 54.44, 31.80, -100.00
2021-09-07 23:06:42, 52.00, 54.44, 31.80, -100.00
2021-09-07 23:06:44, 52.00, 54.12, 31.81, -100.00
2021-09-07 23:06:46, 52.00, 54.12, 31.81, -100.00
2021-09-07 23:06:48, 52.00, 53.94, 31.81, -100.00
2021-09-07 23:06:50, 52.00, 53.94, 31.81, -100.00
2021-09-07 23:06:52, 52.00, 53.62, 31.82, -100.00
2021-09-07 23:06:54, 52.00, 53.62, 31.82, -100.00
2021-09-07 23:06:56, 52.00, 53.38, 31.82, -100.00
2021-09-07 23:06:58, 52.00, 53.38, 31.82, -100.00
2021-09-07 23:07:00, 52.00, 53.00, 31.82, -100.00
2021-09-07 23:07:02, 52.00, 53.00, 31.82, -100.00
2021-09-07 23:07:04, 52.00, 52.62, 31.83, -100.00
