DATETIME, TR, TI, TE, INTENSITY
2021-09-07 21:56:01, 44.00, 48.94, 31.40, -74.81
2021-09-07 21:56:03, 44.00, 48.94, 31.40, -74.81
2021-09-07 21:56:05, 70.00, 48.81, 31.40, 100.00
2021-09-07 21:56:07, 70.00, 48.81, 31.40, 100.00
2021-09-07 21:56:09, 70.00, 48.44, 31.40, 100.00
2021-09-07 21:56:11, 70.00, 48.44, 31.40, 100.00
2021-09-07 21:56:13, 70.00, 48.62, 31.40, 100.00
2021-09-07 21:56:15, 70.00, 48.62, 31.40, 100.00
2021-09-07 21:56:17, 70.00, 48.81, 31.40, 100.00
2021-09-07 21:56:19, 70.00, 48.81, 31.40, 100.00
2021-09-07 21:56:21, 70.00, 49.38, 31.40, 100.00
2021-09-07 21:56:23, 70.00, 49.38, 31.40, 100.00
2021-09-07 21:56:25, 70.00, 49.75, 31.40, 100.00
2021-09-07 21:56:27, 70.00, 49.75, 31.40, 100.00
2021-09-07 21:56:29, 70.00, 50.62, 31.41, 100.00
2021-09-07 21:56:31, 70.00, 50.62, 31.41, 100.00
2021-09-07 21:56:33, 70.00, 51.12, 31.41, 100.00
2021-09-07 21:56:35, 70.00, 51.12, 31.41, 100.00
2021-09-07 21:56:37, 70.00, 52.19, 31.41, 100.00
2021-09-07 21:56:39, 70.00, 52.19, 31.41, 100.00
2021-09-07 21:56:41, 70.00, 53.44, 31.41, 100.00
2021-09-07 21:56:43, 70.00, 53.44, 31.41, 100.00
2021-09-07 21:56:45, 70.00, 54.06, 31.41, 100.00
2021-09-07 21:56:47, 70.00, 54.06, 31.41, 100.00
2021-09-07 21:56:49, 70.00, 55.44, 31.41, 100.00
2021-09-07 21:56:51, 70.00, 55.44, 31.41, 100.00
2021-09-07 21:56:53, 70.00, 56.19, 31.42, 100.00
2021-09-07 21:56:55, 70.00, 56.19, 31.42, 100.00
2021-09-07 21:56:57, 70.00, 57.69, 31.42, 100.00
2021-09-07 21:56:59, 70.00, 57.69, 31.42, 100.00
2021-09-07 21:57:01, 70.00, 58.50, 31.42, 100.00
2021-09-07 21:57:03, 70.00, 58.50, 31.42, 100.00
2021-09-07 21:57:05, 70.00, 60.12, 31.42, 100.00
2021-09-07 21:57:07, 70.00, 60.12, 31.42, 100.00
2021-09-07 21:57:09, 70.00, 61.75, 31.43, 100.00
2021-09-07 21:57:11, 70.00, 61.75, 31.43, 100.00
2021-09-07 21:57:13, 70.00, 62.69, 31.43, 100.00
2021-09-07 21:57:15, 70.00, 62.69, 31.43, 100.00
2021-09-07 21:57:17, 70.00, 64.38, 31.43, 100.00
2021-09-07 21:57:19, 70.00, 64.38, 31.43, 100.00
2021-09-07 21:57:21, 70.00, 65.25, 31.44, 100.00
2021-09-07 21:57:23, 70.00, 65.25, 31.44, 100.00
2021-09-07 21:57:25, 70.00, 67.06, 31.44, 100.00
